Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,438.747223,446.535675,436.151154,438.747223,89.092613,6106175548
2000-01-06,440.045380,447.833862,436.151154,437.449310,88.829048,6545983638
2000-01-07,432.256927,433.555084,425.766632,428.362701,86.983925,4764317019
2000-01-10,434.853271,454.324158,434.853271,450.429901,91.464920,11999876910
2000-01-11,463.410767,463.410767,442.641449,443.939606,90.146988,14233503080
2000-01-12,447.833862,473.795288,445.237793,473.795288,96.209534,19533828652
2000-01-13,494.564331,494.564331,480.285583,484.179810,98.318230,28338119953
2000-01-14,486.775879,489.371918,467.304993,468.602936,95.155174,12886609388
2000-01-17,480.285583,499.756744,475.093231,490.670105,99.636154,17128517789
2000-01-18,493.266144,499.756744,485.477966,499.756744,101.481308,11136733824
2000-01-19,497.160400,497.160400,481.583740,481.583740,97.791069,10082213334
2000-01-20,481.583740,485.477966,476.391327,480.285583,97.527458,6791682683
2000-01-21,482.881622,486.775879,478.987396,480.285583,97.527458,5052280986
2000-01-24,482.881622,486.775879,476.391327,476.391327,96.736664,4052306505
2000-01-25,473.795288,475.093231,468.602936,469.901031,95.418770,4209217899
2000-01-26,473.795288,485.477966,473.795288,478.987396,97.263847,5470780213
2000-01-27,481.583740,484.179810,473.795288,473.795288,96.209534,3791796502
2000-01-28,473.795288,485.477966,471.199219,476.391327,96.736664,6733791395
2000-01-31,484.179810,494.564331,480.285583,491.968262,99.899750,8994128266
2000-02-01,498.458557,498.458557,488.074036,489.371918,99.372559,6248552678
2000-02-02,489.371918,489.371918,489.371918,489.371918,99.372559,0
2000-02-03,489.371918,489.371918,489.371918,489.371918,99.372559,0
2000-02-04,489.371918,489.371918,489.371918,489.371918,99.372559,0
2000-02-07,489.371918,489.371918,489.371918,489.371918,99.372559,0
2000-02-08,489.371918,489.371918,489.371918,489.371918,99.372559,0
2000-02-09,497.160400,515.333374,486.775879,507.544952,103.062805,15814258706
